Rnum,Run,motion,counter,Task
R3262,2,0.121078,0.0,WM
R3262,2,0.0625864,2.251909,WM
R3262,2,0.116514,4.8871970000000005,WM
R3262,2,0.0356693,0.0,WM
R3262,2,0.0356693,2.6940239999999998,WM
R3262,2,0.0293751,0.0,WM
R3262,2,0.0293751,2.627189,WM
R3262,2,0.0375711,5.053846,WM
R3262,2,0.0481483,0.0,WM
R3262,2,0.0481483,2.585193,WM
R3262,2,0.0313253,5.220319,WM
R3262,2,0.0211027,0.0,WM
R3262,2,0.0149674,2.626811,WM
R3262,2,0.0149631,5.111921000000001,WM
R3262,2,0.0279637,0.0,WM
R3262,2,0.0172748,2.376508,WM
R3262,2,0.0284071,0.0,WM
R3262,2,0.0233529,2.3766819999999997,WM
R3262,2,0.0356434,0.0,WM
R3262,2,0.0486884,2.6267709999999997,WM
R4065,1,0.0406711,0.0,WM
R4065,1,0.0389927,2.3265029999999998,WM
R4065,1,0.0244191,0.0,WM
R4065,1,0.0268559,2.926793,WM
R4065,1,0.0109392,0.0,WM
R4065,1,0.0436886,2.826972,WM
R4065,1,0.0206537,5.3620470000000005,WM
R4065,1,0.0422201,0.0,WM
R4065,1,0.0501889,2.77692,WM
R4065,1,0.0364278,0.0,WM
R4065,1,0.0221607,2.827096,WM
R4065,1,0.0485518,5.453835,WM
R4065,1,0.0386789,0.0,WM
R4065,1,0.0214155,2.526629,WM
R4065,1,0.0315053,5.203500999999999,WM
R4065,1,0.0312874,7.680182,WM
R4065,1,0.0291454,0.0,WM
R4065,1,0.0239675,2.62689,WM
R4065,1,0.0242632,0.0,WM
R4169,3,0.0210127,0.0,WM
R4169,3,0.0361842,2.824865,WM
R4169,3,0.0462263,5.249755,WM
R4169,3,0.0462263,7.924597,WM
R4169,3,0.0745679,0.0,WM
R4169,3,0.0745679,2.675515,WM
R4169,3,0.0369614,0.0,WM
R4169,3,0.0369614,2.674873,WM
R4169,3,0.0349391,0.0,WM
R4169,3,0.0211324,2.67509,WM
R4169,3,0.063641,5.099708,WM
R4169,3,0.0536665,0.0,WM
R4169,3,0.0372172,2.474637,WM
R4169,3,0.143783,0.0,WM
R4169,3,0.0356813,2.724904,WM
R4169,3,0.0491942,0.0,WM
R4169,3,0.0277665,2.5250589999999997,WM
R4169,3,0.0631155,0.0,WM
R4169,3,0.0643958,2.4247389999999998,WM
R3678,4,0.0233863,0.0,WM
R3678,4,0.02937,2.2268109999999997,WM
R3678,4,0.0270435,4.503442,WM
R3678,4,0.0321178,0.0,WM
R3678,4,0.031275,2.5771439999999997,WM
R3678,4,0.0264277,0.0,WM
R3678,4,0.0348767,2.385392,WM
R3678,4,0.0348767,5.020574,WM
R3678,4,0.0408872,0.0,WM
R3678,4,0.0187459,2.5350159999999997,WM
R3678,4,0.0187459,5.370349,WM
R3678,4,0.0534795,0.0,WM
R3678,4,0.0314157,2.685181,WM
R3678,4,0.0275366,0.0,WM
R3678,4,0.0275366,2.327064,WM
R3678,4,0.0290034,0.0,WM
R3678,4,0.018487,2.234191,WM
R3678,4,0.0444027,4.611457,WM
R3678,4,0.0498594,0.0,WM
R3678,4,0.0538687,2.784989,WM
R4507,2,0.0279663,0.0,WM
R4507,2,0.0172606,2.6830629999999998,WM
R4507,2,0.0168036,0.0,WM
