Rnum,Run,motion,counter,Task
R4053,3,0.0270829,0.0,CRT
R4053,3,0.0522096,2.53568,CRT
R4053,3,0.0522096,5.162398,CRT
R4053,3,0.116587,0.0,CRT
R4053,2,0.0267281,0.0,CRT
R4053,2,0.0267281,2.6272320000000002,CRT
R4053,2,0.00338262,4.912063,CRT
R4053,2,0.0358083,7.338766000000001,CRT
R4053,2,0.0332361,0.0,CRT
R4053,2,0.0198186,2.426711,CRT
R4053,2,0.0477818,0.0,CRT
R4053,2,0.0220828,2.526571,CRT
R4053,2,0.022952,5.1117740000000005,CRT
R4053,2,0.0208604,7.738678,CRT
R4053,2,0.0637746,0.0,CRT
R4053,2,0.0324711,2.5855520000000003,CRT
R4053,2,0.0324711,5.220863,CRT
R4053,2,0.0256243,0.0,CRT
R4053,2,0.0256243,2.727391,CRT
R4053,2,0.0405927,0.0,CRT
R4053,2,0.0405927,2.326547,CRT
R4053,2,0.0792518,0.0,CRT
R4053,2,0.0792518,2.685344,CRT
R4053,2,0.0899681,0.0,CRT
R4053,2,0.0899681,2.585271,CRT
R3262,1,0.0542685,0.0,CRT
R3262,1,0.0445447,2.735528,CRT
R3262,1,0.0504018,5.470940000000001,CRT
R3262,1,0.055689,0.0,CRT
R3262,1,0.0397196,2.334844,CRT
R3262,1,0.021596,0.0,CRT
R3262,1,0.0177025,2.435345,CRT
R3262,1,0.040698,0.0,CRT
R3262,1,0.0334083,2.793612,CRT
R3262,1,0.0152343,5.286804,CRT
R3262,1,0.0306058,0.0,CRT
R3262,1,0.0306058,2.685187,CRT
R3262,1,0.0622639,0.0,CRT
R3262,1,0.0622639,2.885325,CRT
R3262,1,0.0179324,5.712747,CRT
R3262,1,0.0217396,0.0,CRT
R3262,1,0.0148628,2.484971,CRT
R3262,1,0.0978043,0.0,CRT
R4538,3,0.0250996,0.0,CRT
R4538,3,0.0358364,2.575076,CRT
R4538,3,0.0420103,0.0,CRT
R4538,3,0.0808036,2.725118,CRT
R4538,3,0.116028,5.650085000000001,CRT
R4538,3,0.0386014,0.0,CRT
R4538,3,0.104485,2.474631,CRT
R4538,3,0.0387758,5.149605,CRT
R4538,3,0.0387758,7.724508,CRT
R4538,3,0.0551079,0.0,CRT
R4538,3,0.0346027,2.174935,CRT
R4538,3,0.0325995,0.0,CRT
R4538,3,0.0610093,2.674891,CRT
R4538,3,0.412854,0.0,CRT
R4538,3,0.224908,2.674869,CRT
R4538,3,0.0844241,5.099962,CRT
R4538,3,0.0493569,0.0,CRT
R4538,3,0.058482,2.724926,CRT
R4538,3,0.0510297,5.14951,CRT
R4538,3,0.0510297,7.574419000000001,CRT
R4538,3,0.0544329,0.0,CRT
R4211,3,0.0639797,0.0,CRT
R4211,3,0.15293,2.7748600000000003,CRT
R4211,3,0.141404,0.0,CRT
R4211,3,0.0255799,2.824987,CRT
R4211,3,0.155388,5.499981,CRT
R4211,3,0.0602061,7.8245949999999995,CRT
R4211,3,0.16516,0.0,CRT
R4211,3,0.0975468,2.774856,CRT
R4211,3,0.134398,0.0,CRT
R4211,3,0.09671,2.174643,CRT
R4211,3,0.230497,0.0,CRT
R4211,3,0.494321,2.424646,CRT
R4211,3,0.148518,0.0,CRT
R4211,3,0.0436361,2.624607,CRT
R4211,3,0.0663137,5.199638,CRT
R4211,3,0.0965719,0.0,CRT
