,unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,counter
113,646,2,R3678,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_circle.png,None,178.548991,180.9675,4.803751
114,647,2,R3678,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_square.png,None,180.975669,183.394188,7.230439
115,648,2,R3678,R1,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,183.40235,185.070198,8.906449
116,649,2,R3678,R1,NT,NT,1,None,1.4,1.2,Stimuli/nB_N_triangle_circle.png,None,187.588568,190.215685,0.0
117,650,2,R3678,R1,NT,NT,1,None,1.3,1.05,Stimuli/nB_N_circle_triangle.png,None,190.223756,192.592248,2.376563
118,664,2,R3678,R1,NT,NT,1,None,1.35,1.05,Stimuli/nB_N_circle_triangle.png,None,258.879634,261.306119,0.0
119,821,2,R3678,R2,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_circle_triangle.png,None,274.73222,277.458872,0.0
120,822,2,R3678,R2,NT,NT,1,None,1.65,1.1,Stimuli/nB_N_circle_square.png,None,277.467384,280.236206,2.777334
121,823,2,R3678,R2,TT,TT,1,left,1.3,2.5,Stimuli/nB_T_CIRCLE.png,left,280.24437,281.561925,4.103053
122,824,2,R3678,R2,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_square_triangle.png,None,284.080362,287.007541,0.0
123,825,2,R3678,R2,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_triangle_square.png,None,287.015697,289.634411,2.62687
124,826,2,R3678,R2,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,289.642454,291.310299,4.302758
125,827,2,R3678,R2,NT,NT,1,None,1.35,1.15,Stimuli/nB_N_circle_triangle.png,None,293.828772,296.355759,0.0
126,828,2,R3678,R2,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_circle_triangle.png,None,296.363871,299.03263,2.676871
127,829,2,R3678,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,299.040717,301.567626,5.211867
128,843,2,R3678,R2,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_triangle_circle.png,None,368.255249,370.881904,0.0
129,844,2,R3678,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_circle_square.png,None,370.890426,373.55913,2.677226
130,845,2,R3678,R2,TT,TT,1,left,1.65,2.3,Stimuli/nB_T_CIRCLE.png,left,373.567221,375.243449,4.361545
131,846,2,R3678,R2,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_square_triangle.png,None,377.561752,379.78011,0.0
132,847,2,R3678,R2,NT,NT,1,None,1.65,0.9,Stimuli/nB_N_triangle_circle.png,None,379.788241,382.365252,2.585142
133,848,2,R3678,R2,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_TRIANGLE.png,left,382.373371,383.999487,4.219377
134,849,2,R3678,R2,NT,NT,1,None,1.35,0.8,Stimuli/nB_N_square_triangle.png,None,386.16756,388.335964,0.0
135,850,2,R3678,R2,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_circle_square.png,None,388.344164,390.670812,2.334848
136,851,2,R3678,R2,NT,NT,1,None,1.4,1.05,Stimuli/nB_N_triangle_square.png,None,390.679103,393.147691,4.811727
137,852,2,R3678,R2,TT,TT,1,right,1.4,2.35,Stimuli/nB_T_SQUARE.png,right,393.155853,394.573502,6.237538
138,853,2,R3678,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_triangle.png,None,396.941791,399.618789,0.0
139,854,2,R3678,R2,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_circle_triangle.png,None,399.626707,402.09516,2.476371
140,868,2,R3678,R2,NT,NT,1,None,1.55,0.8,Stimuli/nB_N_circle_square.png,None,468.633126,471.009451,0.0
141,869,2,R3678,R2,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_square_circle.png,None,471.018061,473.636741,2.62729
142,883,2,R3678,R2,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_circle_triangle.png,None,540.23267,543.05941,0.0
143,906,2,R3678,R3,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_triangle_square.png,None,0.0,2.526811,0.0
144,907,2,R3678,R3,NT,NT,1,None,1.5,1.0,Stimuli/nB_N_triangle_circle.png,None,2.535131,5.053983,2.527172
145,908,2,R3678,R3,TT,TT,1,right,1.65,2.3,Stimuli/nB_T_CIRCLE.png,right,5.062179,6.72992,4.203109
146,909,2,R3678,R3,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,9.048234,11.716943,0.0
147,910,2,R3678,R3,NT,NT,1,None,1.65,1.0,Stimuli/nB_N_circle_square.png,None,11.725022,14.393809,2.676866
148,924,2,R3678,R3,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_circle_square.png,None,80.739577,83.366179,0.0
149,925,2,R3678,R3,NT,NT,1,None,1.7,1.0,Stimuli/nB_N_square_circle.png,None,83.374706,86.101854,2.735675
150,926,2,R3678,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,86.109914,88.937138,5.570959
151,927,2,R3678,R3,TT,TT,1,right,1.7,2.15,Stimuli/nB_T_SQUARE.png,left,88.945238,90.66309,7.296911
152,928,2,R3678,R3,NT,NT,1,None,1.65,0.8,Stimuli/nB_N_circle_triangle.png,None,92.831268,95.308118,0.0
153,929,2,R3678,R3,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_square_circle.png,None,95.316299,97.584667,2.276549
154,943,2,R3678,R3,NT,NT,1,None,1.6,0.9,Stimuli/nB_N_triangle_square.png,None,164.072193,166.598734,0.0
155,944,2,R3678,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,166.607311,169.434525,2.835791
156,945,2,R3678,R3,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_circle_triangle.png,None,169.442638,172.161456,5.562722
157,946,2,R3678,R3,TT,TT,1,right,1.3,2.25,Stimuli/nB_T_TRIANGLE.png,right,172.169499,173.487099,6.888365
158,947,2,R3678,R3,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_square_triangle.png,None,175.755327,178.424116,0.0
159,948,2,R3678,R3,NT,NT,1,None,1.35,0.8,Stimuli/nB_N_circle_square.png,None,178.432195,180.608827,2.184711
160,949,2,R3678,R3,NT,NT,1,None,1.7,0.85,Stimuli/nB_N_circle_triangle.png,None,180.617022,183.185599,4.761483
161,950,2,R3678,R3,TT,TT,1,right,1.6,2.3,Stimuli/nB_T_TRIANGLE.png,right,183.193801,184.81994,6.395824
162,951,2,R3678,R3,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_circle_triangle.png,None,187.138227,190.065479,0.0
163,952,2,R3678,R3,NT,NT,1,None,1.7,0.8,Stimuli/nB_N_triangle_circle.png,None,190.073529,192.592128,2.526649
164,953,2,R3678,R3,TT,TT,1,left,1.45,2.45,Stimuli/nB_T_TRIANGLE.png,left,192.600316,194.068027,4.002548
165,954,2,R3678,R3,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_circle_triangle.png,None,196.536405,199.20514,0.0
166,1109,2,R3678,R4,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_triangle_square.png,None,207.702454,210.379095,0.0
167,1110,2,R3678,R4,NT,NT,1,None,1.4,0.8,Stimuli/nB_N_square_circle.png,None,210.38764,212.605906,2.226811
168,1111,2,R3678,R4,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_circle_triangle.png,None,212.613803,214.882537,4.503442
169,1125,2,R3678,R4,NT,NT,1,None,1.55,1.1,Stimuli/nB_N_circle_triangle.png,None,281.178312,283.854993,0.0
170,1126,2,R3678,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_square.png,None,283.863473,286.432137,2.577144
171,1140,2,R3678,R4,NT,NT,1,None,1.7,1.0,Stimuli/nB_N_triangle_circle.png,None,352.919668,355.646311,0.0
172,1141,2,R3678,R4,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,355.654889,358.031703,2.385392
173,1142,2,R3678,R4,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_triangle_square.png,None,358.039818,360.666885,5.020574
174,1143,2,R3678,R4,TT,TT,1,left,1.7,2.15,Stimuli/nB_T_TRIANGLE.png,left,360.675008,362.401217,6.754906
175,1144,2,R3678,R4,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_triangle_circle.png,None,364.569292,367.44661,0.0
176,1145,2,R3678,R4,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_circle_square.png,None,367.454708,369.981626,2.535016
177,1146,2,R3678,R4,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_triangle_square.png,None,369.989759,372.816959,5.370349
178,1147,2,R3678,R4,TT,TT,1,right,1.55,2.5,Stimuli/nB_T_SQUARE.png,right,372.82508,374.392836,6.946226
179,1148,2,R3678,R4,NT,NT,1,None,1.6,1.15,Stimuli/nB_N_triangle_circle.png,None,376.911267,379.680079,0.0
180,1149,2,R3678,R4,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_square_circle.png,None,379.688187,382.36526,2.685181
181,1163,2,R3678,R4,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_circle_triangle.png,None,448.702595,451.379134,0.0
182,1164,2,R3678,R4,NT,NT,1,None,1.4,0.9,Stimuli/nB_N_triangle_square.png,None,451.387819,453.706198,2.327064
183,1165,2,R3678,R4,TT,TT,1,right,1.5,2.1,Stimuli/nB_T_SQUARE.png,right,453.714389,455.232125,3.852991
184,1166,2,R3678,R4,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_triangle_circle.png,None,457.350283,460.027353,0.0
185,1167,2,R3678,R4,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_triangle_circle.png,None,460.035451,462.261544,2.234191
186,1168,2,R3678,R4,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,462.270305,464.63881,4.611457
187,1169,2,R3678,R4,TT,TT,1,right,1.55,2.3,Stimuli/nB_T_CIRCLE.png,right,464.646961,466.223077,6.195724
188,1170,2,R3678,R4,NT,NT,1,None,1.6,1.1,Stimuli/nB_N_square_triangle.png,None,468.54134,471.259963,0.0
189,1171,2,R3678,R4,NT,NT,1,None,1.55,1.2,Stimuli/nB_N_triangle_square.png,None,471.268149,474.044952,2.784989
190,1185,2,R3678,R4,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_triangle_circle.png,None,540.682905,543.009236,0.0
191,1208,3,R2595,R1,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_triangle_circle.png,None,0.0,2.476832,0.0
192,1209,3,R2595,R1,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_square_circle.png,None,2.48539,4.862155,2.385323
193,1210,3,R2595,R1,TT,TT,1,right,1.55,2.5,Stimuli/nB_T_CIRCLE.png,right,4.870325,6.438095,3.961263
194,1211,3,R2595,R1,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_circle.png,None,8.956434,11.625193,0.0
195,1212,3,R2595,R1,NT,NT,1,None,1.35,1.2,Stimuli/nB_N_circle_square.png,None,11.633285,14.210395,2.585202
196,1213,3,R2595,R1,NT,NT,1,None,1.65,0.85,Stimuli/nB_N_circle_triangle.png,None,14.218486,16.745372,5.120179
197,1214,3,R2595,R1,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_square_circle.png,None,16.753544,18.971928,7.346735
198,1228,3,R2595,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_circle_triangle.png,None,85.659595,88.386326,0.0
199,1229,3,R2595,R1,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_triangle.png,None,88.394862,91.222027,2.835701
200,1230,3,R2595,R1,TT,TT,1,right,1.6,2.25,Stimuli/nB_T_TRIANGLE.png,right,91.23014,92.847918,4.461592
201,1231,3,R2595,R1,NT,NT,1,None,1.3,1.15,Stimuli/nB_N_triangle_square.png,None,95.116159,97.584783,0.0
202,1232,3,R2595,R1,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_circle_triangle.png,None,97.592813,99.961351,2.376568
203,1246,3,R2595,R1,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_circle_square.png,None,166.49867,169.325679,0.0
