unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset
1265,3,R2595,R1,NT,NT,1,None,1.65,0.9,Stimuli/nB_N_triangle_circle.png,None,250.031717,252.608244
1266,3,R2595,R1,NT,NT,1,None,1.55,1.2,Stimuli/nB_N_square_circle.png,None,252.616759,255.385685
1267,3,R2595,R1,TT,TT,1,left,1.3,2.2,Stimuli/nB_T_SQUARE.png,left,255.393708,256.71133
1268,3,R2595,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_triangle_square.png,None,258.929548,261.598311
1410,3,R2595,R2,NT,NT,1,None,1.45,1.05,Stimuli/nB_N_circle_triangle.png,None,204.800348,207.326879
1411,3,R2595,R2,NT,NT,1,None,1.7,1,Stimuli/nB_N_circle_square.png,None,207.335401,210.062466
1412,3,R2595,R2,NT,NT,1,None,1.55,1.2,Stimuli/nB_N_square_triangle.png,None,210.070626,212.847821
1413,3,R2595,R2,NT,NT,1,None,1.35,0.85,Stimuli/nB_N_circle_square.png,None,212.855899,215.074206
1427,3,R2595,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,281.419951,283.946505
1428,3,R2595,R2,NT,NT,1,None,1.6,1.1,Stimuli/nB_N_square_triangle.png,None,283.955068,286.673516
1442,3,R2595,R2,NT,NT,1,None,1.35,1.15,Stimuli/nB_N_triangle_circle.png,None,353.06954,355.596111
1443,3,R2595,R2,NT,NT,1,None,1.4,1.2,Stimuli/nB_N_triangle_square.png,None,355.604279,358.22338
1444,3,R2595,R2,NT,NT,1,None,1.6,0.8,Stimuli/nB_N_square_triangle.png,None,358.231181,360.65786
1445,3,R2595,R2,TT,TT,1,right,1.6,2.3,Stimuli/nB_T_TRIANGLE.png,right,360.666491,362.284304
1446,3,R2595,R2,NT,NT,1,None,1.3,1.2,Stimuli/nB_N_circle_triangle.png,None,364.60261,367.121209
1447,3,R2595,R2,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_square_circle.png,None,367.12925,369.747907
1448,3,R2595,R2,TT,TT,1,right,1.55,2.4,Stimuli/nB_T_CIRCLE.png,right,369.756127,371.323894
