unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
1110,2,R3678,R4,NT,NT,1,None,1.4,0.8,Stimuli/nB_N_square_circle.png,None,210.38764,212.605906,True
1111,2,R3678,R4,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_circle_triangle.png,None,212.613803,214.882537,True
1125,2,R3678,R4,NT,NT,1,None,1.55,1.1,Stimuli/nB_N_circle_triangle.png,None,281.178312,283.854993,True
1126,2,R3678,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_square.png,None,283.863473,286.432137,True
1140,2,R3678,R4,NT,NT,1,None,1.7,1.0,Stimuli/nB_N_triangle_circle.png,None,352.919668,355.646311,True
1141,2,R3678,R4,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,355.654889,358.031703,True
1142,2,R3678,R4,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_triangle_square.png,None,358.039818,360.666885,True
1143,2,R3678,R4,TT,TT,1,left,1.7,2.15,Stimuli/nB_T_TRIANGLE.png,left,360.675008,362.401217,True
1144,2,R3678,R4,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_triangle_circle.png,None,364.569292,367.44661,True
1145,2,R3678,R4,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_circle_square.png,None,367.454708,369.981626,True
1146,2,R3678,R4,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_triangle_square.png,None,369.989759,372.816959,True
1147,2,R3678,R4,TT,TT,1,right,1.55,2.5,Stimuli/nB_T_SQUARE.png,right,372.82508,374.392836,True
1148,2,R3678,R4,NT,NT,1,None,1.6,1.15,Stimuli/nB_N_triangle_circle.png,None,376.911267,379.680079,True
1149,2,R3678,R4,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_square_circle.png,None,379.688187,382.36526,True
1163,2,R3678,R4,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_circle_triangle.png,None,448.702595,451.379134,True
1164,2,R3678,R4,NT,NT,1,None,1.4,0.9,Stimuli/nB_N_triangle_square.png,None,451.387819,453.706198,True
1165,2,R3678,R4,TT,TT,1,right,1.5,2.1,Stimuli/nB_T_SQUARE.png,right,453.714389,455.232125,True
1166,2,R3678,R4,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_triangle_circle.png,None,457.350283,460.027353,True
1167,2,R3678,R4,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_triangle_circle.png,None,460.035451,462.261544,True
1168,2,R3678,R4,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,462.270305,464.63881,True
1169,2,R3678,R4,TT,TT,1,right,1.55,2.3,Stimuli/nB_T_CIRCLE.png,right,464.646961,466.223077,True
1170,2,R3678,R4,NT,NT,1,None,1.6,1.1,Stimuli/nB_N_square_triangle.png,None,468.54134,471.259963,True
1171,2,R3678,R4,NT,NT,1,None,1.55,1.2,Stimuli/nB_N_triangle_square.png,None,471.268149,474.044952,True
1185,2,R3678,R4,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_triangle_circle.png,None,540.682905,543.009236,True
1208,3,R2595,R1,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_triangle_circle.png,None,0.0,2.476832,True
1209,3,R2595,R1,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_square_circle.png,None,2.48539,4.862155,True
1210,3,R2595,R1,TT,TT,1,right,1.55,2.5,Stimuli/nB_T_CIRCLE.png,right,4.870325,6.438095,True
1211,3,R2595,R1,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_circle.png,None,8.956434,11.625193,True
1212,3,R2595,R1,NT,NT,1,None,1.35,1.2,Stimuli/nB_N_circle_square.png,None,11.633285,14.210395,True
1213,3,R2595,R1,NT,NT,1,None,1.65,0.85,Stimuli/nB_N_circle_triangle.png,None,14.218486,16.745372,True
1214,3,R2595,R1,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_square_circle.png,None,16.753544,18.971928,True
1228,3,R2595,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_circle_triangle.png,None,85.659595,88.386326,True
