unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
6051,11,R4140,R1,MWQ,Focus,0,2,31.021825,32.647694,1.59379,1,26.647694,6,1,-0.395,-0.687,-0.136,-1.7
6067,11,R4140,R1,MWQ,Focus,0,3,105.548534,107.116233,0.55151,2,101.116233,6,1,-0.415,-1.976,0.175,-1.642
6082,11,R4140,R1,MWQ,Focus,0,3,177.590191,178.957791,0.984993,3,172.957791,6,1,-0.916,-1.237,0.061,-1.162
6098,11,R4140,R1,MWQ,Focus,0,4,251.708237,253.434463,-0.390388,4,247.434463,6,1,-0.034,-2.221,0.093,-2.256
6231,11,R4140,R2,MWQ,Focus,0,2,145.000951,146.718812,0.217995,2,140.718812,6,1,-0.274,-0.441,0.424,-0.341
6253,11,R4140,R2,MWQ,Focus,0,2,237.506769,239.224644,0.42652,3,233.224644,6,1,-0.585,-0.136,-0.462,-1.669
6269,11,R4140,R2,MWQ,Focus,0,1,311.925031,313.501174,0.276258,4,307.501174,6,1,-1.274,0.34,0.364,-3.129
6284,11,R4140,R2,MWQ,Focus,0,1,383.891653,385.517778,0.092824,5,379.517778,6,1,-0.756,2.439,-0.471,-3.075
6305,11,R4140,R2,MWQ,Focus,0,2,471.760778,473.33703,0.543342,6,467.33703,6,1,-0.333,-0.975,0.886,-0.58
6401,11,R4140,R3,MWQ,Focus,0,2,226.724309,228.091908,0.584743,3,222.091908,6,1,-0.864,-0.29,0.284,-0.477
6416,11,R4140,R3,MWQ,Focus,0,4,298.215569,299.741637,0.267896,4,293.741637,6,1,-0.132,0.123,0.044,-2.44
6442,11,R4140,R3,MWQ,Focus,0,2,402.354407,404.030654,-0.015372,5,398.030654,6,1,-0.513,-0.21,-0.003,-1.253
6457,11,R4140,R3,MWQ,Focus,0,2,474.504518,476.222395,-0.357408,6,470.222395,6,1,-0.875,-0.287,-0.26,-0.844
6503,11,R4140,R4,MWQ,Focus,0,2,27.977996,29.453698,0.093083,1,23.453698,6,1,-0.967,-0.884,-0.037,0.958
6527,11,R4140,R4,MWQ,Focus,0,3,127.030026,128.497728,0.18445,2,122.497728,6,1,-0.506,0.73,0.122,-2.678
6649,13,R4302,R1,MWQ,Focus,0,3,14.201697,15.927666,1.094102,1,9.927666,6,1,-0.574,0.9,0.167,0.139
6679,13,R4302,R1,MWQ,Focus,0,3,130.549028,132.016788,1.218788,2,126.016788,6,1,-0.539,0.942,-0.043,1.22
6802,13,R4302,R2,MWQ,Focus,0,2,18.963487,20.58933,0.451715,1,14.58933,6,1,-1.147,-0.307,-0.518,1.184
6817,13,R4302,R2,MWQ,Focus,0,2,91.063623,92.431239,0.567998,2,86.431239,6,1,0.418,-0.823,0.625,0.641
6840,13,R4302,R2,MWQ,Focus,0,3,191.25825,192.775977,1.326946,3,186.775977,6,1,-0.844,-0.373,-1.182,0.114
6855,13,R4302,R2,MWQ,Focus,0,4,262.774581,264.492451,0.034517,4,258.492451,6,1,0.895,-0.21,-1.022,0.092
7023,13,R4302,R3,MWQ,Focus,0,3,335.366148,336.933883,0.293273,5,330.933883,6,1,1.02,-0.676,0.481,-0.561
7038,13,R4302,R3,MWQ,Focus,0,1,406.915732,408.2834,1.635385,6,402.2834,6,1,-0.907,-0.716,-0.5,1.307
7149,13,R4302,R4,MWQ,Focus,0,3,209.162029,210.579691,0.484743,3,204.579691,6,1,0.718,-0.33,-0.816,0.726
7168,13,R4302,R4,MWQ,Focus,0,2,292.511532,294.02926,1.485563,4,288.02926,6,1,-0.331,-1.356,-1.501,2.584
7193,13,R4302,R4,MWQ,Focus,0,3,392.03058,393.756784,1.527237,5,387.756784,6,1,-0.605,0.976,0.022,0.425
7212,13,R4302,R4,MWQ,Focus,0,1,474.821338,476.447512,0.69321,6,470.447512,6,1,-1.434,-0.243,-0.644,0.667
7251,14,R4275,R1,MWQ,Focus,0,4,7.65560399999999,9.18136699999999,1.085442,1,3.18136699999999,6,1,1.566,0.685,1.253,-0.197
7266,14,R4275,R1,MWQ,Focus,0,4,79.34699,81.014833,1.043555,2,75.014833,6,1,1.329,0.747,0.369,1.122
7289,14,R4275,R1,MWQ,Focus,0,4,173.579015,175.305245,-0.632633,3,169.305245,6,1,0.723,1.033,0.626,1.211
7304,14,R4275,R1,MWQ,Focus,0,4,245.829107,247.455271,0.009414,4,241.455271,6,1,1.167,1.382,0.72,0.002
7470,14,R4275,R2,MWQ,Focus,0,4,291.702683,293.128709,2.002732,4,287.128709,6,1,1.2,1.027,-0.098,-0.374
7485,14,R4275,R2,MWQ,Focus,0,3,363.302232,364.778409,0.751572,5,358.778409,6,1,0.642,0.936,0.539,0.231
7508,14,R4275,R2,MWQ,Focus,0,2,458.660133,460.136132,0.543233,6,454.136132,6,1,-0.532,0.169,1.034,-0.269
7624,14,R4275,R3,MWQ,Focus,0,4,299.599742,301.017386,0.067667,4,295.017386,6,1,-0.437,0.504,0.026,0.5
7640,14,R4275,R3,MWQ,Focus,0,4,373.275714,374.993611,0.735156,5,368.993611,6,1,0.913,0.78,-0.444,0.773
