unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
5224,9,R4053,R3,MWQ,Focus,1,3,374.076553,375.552664,-0.374348,5,369.552664,6,1,-0.12,0.036,0.261,1.148
5248,9,R4053,R3,MWQ,Focus,1,2,471.80267,473.120222,0.418109,6,467.120222,6,1,-0.989,0.033,0.205,0.732
5361,9,R4053,R4,MWQ,Focus,1,2,331.822133,333.548331,0.126254,5,327.548331,6,1,-1.034,-0.37,0.117,0.569
5379,9,R4053,R4,MWQ,Focus,1,3,412.911695,414.587871,-0.098931,6,408.587871,6,1,-0.338,-0.499,0.013,-0.06
5521,10,R3891,R1,MWQ,Focus,1,3,358.390053,359.816043,0.426577,5,353.816043,6,1,-0.258,-1.165,-0.39,0.838
5536,10,R3891,R1,MWQ,Focus,1,4,429.989554,431.307142,0.826554,6,425.307142,6,1,0.494,-0.708,0.661,-0.402
5590,10,R3891,R2,MWQ,Focus,1,4,7.847477,9.431738,0.184757,1,3.431738,6,1,-0.631,-0.217,0.767,-0.79
5609,10,R3891,R2,MWQ,Focus,1,3,91.080173,92.4478,0.651367,2,86.4478,6,1,-0.586,0.504,-1.185,-0.148
5632,10,R3891,R2,MWQ,Focus,1,2,185.628408,187.304572,-0.007182,3,181.304572,6,1,-1.276,-0.724,1.234,1.561
5803,10,R3891,R3,MWQ,Focus,1,3,273.000945,274.727164,-0.365775,4,268.727164,6,1,-1.144,-0.75,-0.199,1.283
5834,10,R3891,R3,MWQ,Focus,1,3,390.943041,392.410768,-0.15744,5,386.410768,6,1,-1.238,-1.131,-0.052,0.765
5853,10,R3891,R3,MWQ,Focus,1,3,474.126624,475.794479,0.576945,6,469.794479,6,1,-0.989,-0.602,0.245,1.648
5895,10,R3891,R4,MWQ,Focus,1,4,16.545129,18.120884,-0.215446,1,12.120884,6,1,1.039,0.15,-0.275,-1.193
5916,10,R3891,R4,MWQ,Focus,1,4,107.215962,108.533601,0.593243,2,102.533601,6,1,-0.052,-0.73,-0.425,-0.598
6119,11,R4140,R1,MWQ,Focus,1,3,341.470489,342.79645,0.868141,5,336.79645,6,1,-0.352,-0.506,-0.667,0.971
6147,11,R4140,R1,MWQ,Focus,1,3,451.288346,452.914485,0.426665,6,446.914485,6,1,-0.572,-0.465,-0.232,-0.689
6204,11,R4140,R2,MWQ,Focus,1,2,38.285302,39.961071,0.059911,1,33.961071,6,1,-0.369,0.421,-0.172,0.584
6350,11,R4140,R3,MWQ,Focus,1,3,23.124733,24.600411,-0.340371,1,18.600411,6,1,-0.114,-2.265,0.383,-0.854
6366,11,R4140,R3,MWQ,Focus,1,2,97.251083,98.877307,1.502119,2,92.877307,6,1,-1.802,-0.059,-1.145,-0.208
6546,11,R4140,R4,MWQ,Focus,1,2,209.829134,211.455287,-0.090395,3,205.455287,6,1,-0.735,-0.971,-0.106,-2.435
6563,11,R4140,R4,MWQ,Focus,1,4,286.649093,288.216847,0.368006,4,282.216847,6,1,1.712,-1.722,0.613,-0.163
