unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
16676,R4315,2.57668,0.742,2.05,-1.407,1.763
16692,R4315,5.153509,1.79,0.255,-1.132,1.52
16715,R4315,5.003552,-0.719,-0.677,-0.865,-1.352
16827,R4315,5.203554,-0.627,-0.144,-1.365,1.428
16849,R4315,2.826821,1.517,0.482,-0.81,1.069
16874,R4315,5.103653,-0.976,-0.551,-0.007,1.272
16913,R3380,3.052067,1.278,-0.079,-1.02,0.704
16933,R3380,2.184839,0.729,0.244,-1.527,0.512
16952,R3380,2.476775,0.388,0.045,-0.351,0.412
17068,R3380,2.826995,0.451,0.598,-0.291,-0.929
17094,R3380,4.953488,0.578,0.457,-1.688,-0.61
17277,R3380,2.626808,0.27,0.28,-0.462,-0.171
17292,R3380,2.435101,-0.128,0.063,0.104,-0.497
17324,R3380,7.680205,0.501,0.317,0.264,-0.914
17442,R3380,7.347088,0.234,0.607,-1.073,-0.474
17461,R3380,2.676964,0.602,0.246,-0.48,-0.813
17479,R3380,2.877052,0.079,-0.413,0.169,-0.12
17538,R3385,2.726829,2.028,-0.901,1.686,-0.826
17668,R3385,2.6267,1.853,-0.333,2.385,-1.139
17691,R3385,5.061793,0.159,0.963,1.429,0.016
17712,R3385,8.072305,0.713,0.846,2.144,-1.415
17899,R3385,4.961792,-0.152,-0.33,1.708,-0.251
17928,R3385,5.653936,-0.054,-0.298,2.113,-1.264
18035,R3385,8.239023,1.326,-0.903,1.032,-0.31
18055,R3385,7.638571,-1.037,-0.816,1.788,0.502
18070,R3385,2.176514,1.144,-1.335,2.005,-0.717
18204,R4505,2.574906,-0.39,0.28,0.477,0.267
18220,R4505,5.249839,-1.243,-0.665,-0.898,0.389
18278,R4505,7.774361,1.557,-0.114,-0.728,0.203
18294,R4505,5.199695,1.912,-0.138,1.156,-0.41
18316,R4505,5.299858,1.507,-1.021,-1.267,-0.461
18426,R4505,2.575041,1.37,-0.504,-0.644,-0.517
18642,R4505,7.52486,0.748,-0.813,-1.108,-0.94
18657,R4505,2.624665,-0.368,0.679,-0.177,-1.733
18672,R4505,2.274597,-0.469,-0.724,-0.774,-0.464
18777,R4482,5.299944,0.713,1.246,1.322,0.469
18795,R4482,2.725052,1.412,0.878,0.146,1.089
18817,R4482,7.374743,-0.676,1.294,-0.736,-1.438
18838,R4482,2.624766,-0.088,-0.304,-0.459,-0.641
18879,R4482,2.724747,0.002,0.306,0.173,0.299
