unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
19980,R4508,2.625107,-0.33,1.091,0.055,1.347
20091,R4508,5.099678,-0.215,1.294,1.375,0.178
20117,R4508,5.149931,-1.062,0.435,0.806,1.996
20299,R4508,2.224695,0.032,-1.081,-0.045,1.942
20322,R4508,7.724608,-0.36,0.171,1.367,0.353
20337,R4508,2.374824,-0.545,-1.279,0.788,0.293
20413,R4508,2.775098,-0.254,-0.164,-0.421,1.064
20432,R4508,5.199683,-0.904,-0.797,0.492,0.983
20448,R4508,4.866125,-0.233,-0.968,0.952,0.824
20466,R4508,2.374704,-1.543,-0.492,1.358,0.193
20482,R4508,5.500062,-0.953,-0.395,0.366,0.832
20498,R4508,5.099623,0.489,0.25,0.233,0.545
20537,R4211,2.44116,1.351,1.519,2.652,-1.038
20552,R4211,2.224595,0.7,1.486,1.635,0.669
20570,R4211,2.783206,0.402,1.865,1.988,1.756
20595,R4211,7.674841,0.2,1.342,-1.409,1.036
20698,R4211,2.474561,1.46,2.278,2.196,-0.7
20715,R4211,7.824796,1.404,2.282,0.614,-0.494
20891,R4211,2.77486,1.563,1.259,2.236,-0.471
20917,R4211,2.424646,-0.445,1.566,-1.109,-0.078
20933,R4211,5.199638,-1.505,0.366,0.543,-2.342
20951,R4211,2.775121,-0.411,0.769,0.122,-0.77
21067,R4211,5.349834,-0.171,3.072,0.992,-1.141
21085,R4211,2.774732,0.05,1.807,-1.289,-0.727
21100,R4211,2.524718,-1.307,0.661,1.212,0.442
21142,R4087,4.949583,1.528,-1.825,0.106,-0.701
21361,R4087,5.699762,-0.481,-1.826,0.171,-0.186
21376,R4087,2.875,-1.115,-1.72,0.459,1.153
21399,R4087,2.57506,-0.056,-1.157,0.037,-0.013
21443,R4087,2.524624,-0.135,-1.033,0.321,0.282
21461,R4087,2.374719,-0.488,-0.346,0.263,0.52
21650,R4087,2.374567,-0.807,-0.364,-0.14,-0.74
21671,R4087,7.024398,0.018,-0.824,1.135,0.263
21686,R4087,2.424688,-0.142,-1.798,1.45,0.59
21707,R4087,2.674875,-0.142,-0.684,-0.114,1.263
21816,R4071,2.725211,-1.171,-1.339,-0.398,-0.073
21839,R4071,2.575129,-1.803,-0.296,-0.912,0.707
21854,R4071,2.674878,-0.741,-1.748,-1.058,0.077
21896,R4071,2.533177,-0.874,-0.294,0.017,-1.055
21929,R4071,5.099939,-2.159,0.304,-0.843,1.98
22115,R4071,4.899705,-0.198,-1.024,-1.028,1.604
22144,R4071,5.04988,-0.761,-0.672,0.474,0.951
22159,R4071,2.725182,-1.38,0.187,-0.834,-0.206
22199,R4071,4.59967,-1.025,0.039,0.27,1.068
22218,R4071,2.675036,-0.356,-0.057,-0.482,-0.204
22233,R4071,2.575137,-0.795,-0.532,1.153,1.175
22248,R4071,2.524743,-1.418,0.302,0.664,0.896
22265,R4071,8.124761,-0.997,-0.375,0.532,0.732
22435,R4085,2.47511,-0.216,0.566,1.719,0.687
22456,R4085,7.824799,-0.247,0.846,2.034,0.412
22500,R4085,2.783231,-0.31,0.76,1.505,0.387
22520,R4085,5.699866,-0.537,0.909,1.41,0.763
22540,R4085,4.899872,-0.138,0.892,1.664,1.431
22654,R4085,2.774546,-0.718,1.06,1.413,0.321
22676,R4085,2.724948,-0.416,0.951,1.579,1.323
22852,R4085,2.725081,-0.549,1.025,2.006,0.257
22869,R4085,7.725012,-0.296,1.012,1.729,0.974
22895,R4085,2.825047,0.201,0.745,2.226,1.565
22911,R4085,5.099968,-0.402,-0.809,1.256,0.07
22953,R4119,2.174528,1.635,1.496,2.258,-1.259
22968,R4119,2.824896,1.504,1.8,1.909,-0.379
22999,R4119,7.524555,1.504,1.8,1.909,-0.379
23182,R4119,2.474784,0.548,-0.374,0.082,-0.386
23201,R4119,5.150013,0.329,-1.307,-1.159,-0.228
23323,R4119,5.099912,1.398,0.398,2.229,-1.032
