unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
1067,2,R3678,R4,NT,NT,0,None,1.65,0.85,Stimuli/0B_N_square_triangle.png,None,28.57845,31.105351,True
1068,2,R3678,R4,NT,NT,0,None,1.4,1.1,Stimuli/0B_N_circle_triangle.png,None,31.113525,33.640529,True
1069,2,R3678,R4,TT,TT,0,left,1.7,2.1,Stimuli/0B_T_L_circle_triangle.png,left,33.648615,35.366486,True
1070,2,R3678,R4,NT,NT,0,None,1.45,1,Stimuli/0B_N_circle_square.png,None,37.484634,39.953173,True
1071,2,R3678,R4,NT,NT,0,None,1.6,1.05,Stimuli/0B_N_circle_triangle.png,None,39.961326,42.630067,True
1072,2,R3678,R4,NT,NT,0,None,1.5,0.95,Stimuli/0B_N_circle_square.png,None,42.638198,45.106738,True
1086,2,R3678,R4,NT,NT,0,None,1.55,1.1,Stimuli/0B_N_square_circle.png,None,111.552551,114.229203,True
1087,2,R3678,R4,NT,NT,0,None,1.7,1.2,Stimuli/0B_N_triangle_square.png,None,114.237749,117.156656,True
1088,2,R3678,R4,TT,TT,0,right,1.35,2.5,Stimuli/0B_T_R_circle_square.png,right,117.164744,118.532379,True
1089,2,R3678,R4,NT,NT,0,None,1.45,1.2,Stimuli/0B_N_square_triangle.png,None,121.050825,123.727918,True
1090,2,R3678,R4,NT,NT,0,None,1.45,1.1,Stimuli/0B_N_square_circle.png,None,123.735976,126.304662,True
1091,2,R3678,R4,TT,TT,0,right,1.55,2.25,Stimuli/0B_T_R_square_circle.png,right,126.312764,127.880519,True
1092,2,R3678,R4,NT,NT,0,None,1.6,1,Stimuli/0B_N_triangle_square.png,None,130.148785,132.767438,True
1093,2,R3678,R4,NT,NT,0,None,1.65,1.15,Stimuli/0B_N_circle_square.png,None,132.775552,135.60281,True
1107,2,R3678,R4,NT,NT,0,None,1.4,0.9,Stimuli/0B_N_triangle_circle.png,None,201.948456,204.274783,True
1270,3,R2595,R1,NT,NT,0,None,1.6,0.85,Stimuli/0B_N_triangle_circle.png,None,265.375723,267.85212,True
1271,3,R2595,R1,NT,NT,0,None,1.4,1.15,Stimuli/0B_N_triangle_square.png,None,267.860399,270.429411,True
1272,3,R2595,R1,NT,NT,0,None,1.55,1.15,Stimuli/0B_N_circle_triangle.png,None,270.437532,273.156291,True
1273,3,R2595,R1,TT,TT,0,right,1.4,2.5,Stimuli/0B_T_R_triangle_circle.png,right,273.164409,274.582054,True
1274,3,R2595,R1,NT,NT,0,None,1.6,1.15,Stimuli/0B_N_square_circle.png,None,277.100466,279.87768,True
1275,3,R2595,R1,NT,NT,0,None,1.7,1.15,Stimuli/0B_N_circle_triangle.png,None,279.88575,282.754601,True
1276,3,R2595,R1,TT,TT,0,left,1.65,2.2,Stimuli/0B_T_L_square_triangle.png,left,282.762721,284.438895,True
1277,3,R2595,R1,NT,NT,0,None,1.6,1.1,Stimuli/0B_N_square_triangle.png,None,286.657108,289.375847,True
1278,3,R2595,R1,NT,NT,0,None,1.65,1.1,Stimuli/0B_N_triangle_square.png,None,289.383954,292.152786,True
1279,3,R2595,R1,NT,NT,0,None,1.45,0.8,Stimuli/0B_N_circle_triangle.png,None,292.16083,294.42924,True
1293,3,R2595,R1,NT,NT,0,None,1.6,1.1,Stimuli/0B_N_square_triangle.png,None,361.125273,363.852082,True
