unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,counter,Task_PC,Detail_PC,Modality_PC,Emotion_PC
1662,3,R2595,R4,NT,NT,1,None,2.835631,5.354252,2.527097,,,,
1663,3,R2595,R4,TT,TT,1,right,5.362356,6.780008,3.952853,,,,
1664,3,R2595,R4,NT,NT,1,None,9.298354,11.716888,0,,,,
1665,3,R2595,R4,NT,NT,1,None,11.725076,14.302111,2.585223,,,,
1666,3,R2595,R4,NT,NT,1,None,14.310224,16.778857,5.061969,,,,
1667,3,R2595,R4,NT,NT,1,None,16.786935,19.16373,7.446842,,,,
1668,3,R2595,R4,TT,TT,1,left,19.171899,20.689571,8.972683,,,,
1669,3,R2595,R4,NT,NT,1,None,22.857798,25.726633,0,,,,
1670,3,R2595,R4,NT,NT,1,None,25.734806,28.253417,2.526784,,,,
1671,3,R2595,R4,TT,TT,1,left,28.261537,29.887606,4.160973,,,,
1672,3,R2595,R4,NT,NT,1,None,32.205872,34.474332,0,,,,
1673,3,R2595,R4,NT,NT,1,None,34.482371,37.251342,2.77701,,,,
1674,3,R2595,R4,MWQ,Focus,1,4,37.259438,38.985331,,1.357,-2.124,-1.113,-0.334
1687,3,R2595,R4,NT,NT,1,None,103.947285,106.673991,0,,,,
1688,3,R2595,R4,NT,NT,1,None,106.682463,109.401208,2.727217,,,,
1689,3,R2595,R4,MWQ,Focus,1,4,109.409381,110.726908,,1.209,-2.433,-1.113,-0.361
1702,3,R2595,R4,NT,NT,1,None,175.68858,178.06487,0,,,,
1703,3,R2595,R4,NT,NT,1,None,178.073544,180.341991,2.277121,,,,
1704,3,R2595,R4,TT,TT,1,right,180.350126,181.86786,3.80299,,,,
1705,3,R2595,R4,NT,NT,1,None,184.336233,186.65466,0,,,,
1706,3,R2595,R4,NT,NT,1,None,186.662819,189.239836,2.585176,,,,
1707,3,R2595,R4,MWQ,Focus,1,4,189.247963,190.56555,,1.357,-2.124,-1.113,-0.334
1720,3,R2595,R4,NT,NT,1,None,255.527162,258.003706,0,,,,
1721,3,R2595,R4,NT,NT,1,None,258.012226,260.238911,2.235205,,,,
1812,4,R4052,R1,NT,NT,1,None,0,2.827038,0,,,,
1813,4,R4052,R1,NT,NT,1,None,2.835482,5.65445,2.827412,,,,
1814,4,R4052,R1,NT,NT,1,None,5.662525,8.431338,5.6043,,,,
1815,4,R4052,R1,TT,TT,1,left,8.439497,9.757077,6.930039,,,,
1816,4,R4052,R1,NT,NT,1,None,12.025314,14.644008,0,,,,
1817,4,R4052,R1,NT,NT,1,None,14.652138,17.170708,2.5267,,,,
1818,4,R4052,R1,NT,NT,1,None,17.178884,19.847606,5.203598,,,,
